E1,px1,py1,pz1,E2,px2,py2,pz2,M,Class
59.2206,24.5777,-30.5216,-44.4011,34.379,-25.5775,15.3529,17.0879,88.2258,1
42.4769,40.7932,-10.0004,-6.3398,61.9305,-35.8015,-18.3623,47.0793,91.71600000000001,1
73.5743,38.4842,39.2821,48.878,38.6056,-27.8346,-23.5099,12.7637,91.7739,1
112.6203,24.5914,16.9722,108.5842,29.0279,-19.4623,-21.4389,2.0515,88.1911,1
157.9325,-32.9218,-21.8859,152.9047,52.6303,33.6252,19.1828,35.6555,93.6694,1
63.7998,-16.967,35.3947,50.2966,81.2448,24.9073,-30.0128,71.2712,78.5315,1
96.0344,30.5591,39.6141,-81.9724,40.1312,-35.3163,-6.2939,-17.9905,86.11399999999999,1
68.9226,-9.6295,49.5588,46.9205,121.1322,18.0685,-28.8264,116.2565,94.8318,1
83.9557,-42.6743,-7.6374,-71.8967,47.531000000000006,40.2629,6.0488,-24.5257,89.3485,1
49.1343,-11.8839,-47.4461,4.6705,48.3838,17.8962,39.4,21.6415,93.3625,1
63.0769,2.1441,-33.1867,-53.5979,35.2302,-13.5421,27.7343,16.9878,90.3567,1
54.1471,28.3585,15.9725,43.2733,37.989000000000004,-23.9237,-4.3733,29.1838,55.5411,1
38.1163,-11.5542,30.6391,19.509,56.9616,9.5566,-29.8029,-47.5929,90.8098,1
100.6608,1.1771,-38.9989,92.7916,31.0794,7.428999999999999,30.1413,1.4975,91.17299999999999,1
187.8142,11.2301,-50.1768,180.6387,25.3522,-7.4386,20.3555,13.1552,83.5474,1
47.3216,-39.8541,-20.2341,-15.5425,88.8665,19.3661,16.5457,-85.1378,89.3159,1
235.155,44.2497,-15.5297,-230.4315,240.2526,-42.8214,12.4793,-236.076,91.4974,1
63.0632,23.0797,51.3245,-28.4621,53.6124,-34.5924,-22.1942,-34.4248,93.1521,1
116.7777,-37.3738,21.6401,108.4986,65.8749,41.688,-7.0953,50.5101,88.5893,1
209.4925,30.7701,-37.819,203.7401,161.0247,-32.6156,32.4494,154.3121,95.1284,1
29.9986,-20.9912,-19.885,-7.9921,92.3765,16.8769,20.4325,88.4935,92.0759,1
54.5333,-22.1128,25.7531,-42.6811,48.0635,16.5936,-24.8597,37.6397,102.3202,1
219.6089,-42.0357,-8.4786,215.3815,70.1115,41.7478,7.6797,55.8012,101.9665,1
54.871,30.8405,21.6569,39.8832,171.6434,-33.8039,-8.0774,168.0878,88.6772,1
38.2723,38.0353,3.2246,2.7718,90.5984,-25.7501,-2.458,86.8272,91.805,1
71.6401,-61.545,15.8518,33.064,37.1675,30.8492,8.0655,19.0971,87.2011,1
49.9902,31.3868,-38.8156,2.6889,44.263999999999996,-30.8177,20.4009,-24.3593,89.86,1
80.6606,32.3471,-20.417,-71.0137,96.1461,-6.754,20.349,-93.725,58.8793,1
97.8132,-32.9783,26.4228,-88.2139,28.8442,22.2991,13.5517,12.2917,92.5522,1
